NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
0.00000000,-1.0745538E+09,8.2357181E+08,18356714.,-10.803225,-11.297805,0.35000461,1.3675376E+10,-6.5347646E+10,-6.7419436E+09,37758.275,13073.904,-2394.9529,1.0743540E+11,1.7586119E+09,-6.2304196E+09,-460.62981,34838.089,504.56822,-1.5004353E+11,-5.4010639E+09,18840726.,757.40085,-29873.738,0.91858129,-6.7718269E+10,2.3167855E+11,6.4909616E+09,-22367.731,-4673.1992,451.08465,
0.10000000,-1.0746471E+09,8.2347420E+08,18359739.,-10.803135,-11.297843,0.34998705,1.4001837E+10,-6.5235724E+10,-6.7627417E+09,37705.429,13313.836,-2370.4989,1.0743184E+11,2.0596163E+09,-6.2260843E+09,-557.52408,34837.388,510.14992,-1.5003721E+11,-5.6591822E+09,18848663.,808.94102,-29871.629,0.91841514,-6.7911550E+10,2.3163825E+11,6.4948613E+09,-22362.236,-4692.2638,450.55033,
0.20000000,-1.0747405E+09,8.2337658E+08,18362763.,-10.803045,-11.297881,0.34996949,1.4327846E+10,-6.5121728E+10,-6.7833291E+09,37651.316,13553.735,-2345.9313,1.0742744E+11,2.3606157E+09,-6.2217007E+09,-654.41751,34836.419,515.72788,-1.5003044E+11,-5.9172826E+09,18856599.,860.47429,-29869.431,0.91824731,-6.8104783E+10,2.3159779E+11,6.4987564E+09,-22356.725,-4711.3215,450.01580,
0.30000000,-1.0748338E+09,8.2327897E+08,18365786.,-10.802956,-11.297918,0.34995192,1.4653394E+10,-6.5005660E+10,-6.8037046E+09,37595.932,13793.597,-2321.2502,1.0742220E+11,2.6616079E+09,-6.2172688E+09,-751.30935,34835.180,521.30206,-1.5002323E+11,-6.1753644E+09,18864534.,912.00051,-29867.144,0.91807779,-6.8297969E+10,2.3155717E+11,6.5026468E+09,-22351.201,-4730.3723,449.48104,
0.40000000,-1.0749272E+09,8.2318136E+08,18368810.,-10.802865,-11.297955,0.34993433,1.4978468E+10,-6.4887520E+10,-6.8238674E+09,37539.275,14033.419,-2296.4557,1.0741613E+11,2.9625905E+09,-6.2127889E+09,-848.19886,34833.673,526.87242,-1.5001557E+11,-6.4334269E+09,18872466.,963.51952,-29864.768,0.91790659,-6.8491108E+10,2.3151638E+11,6.5065326E+09,-22345.661,-4749.4162,448.94606,
0.50000000,-1.0750205E+09,8.2308374E+08,18371834.,-10.802775,-11.297991,0.34991674,1.5303059E+10,-6.4767307E+10,-6.8438165E+09,37481.341,14273.196,-2271.5476,1.0740922E+11,3.2635613E+09,-6.2082607E+09,-945.08532,34831.897,532.43891,-1.5000747E+11,-6.6914692E+09,18880398.,1015.0312,-29862.303,0.91773371,-6.8684198E+10,2.3147543E+11,6.5104138E+09,-22340.106,-4768.4531,448.41086,
0.60000000,-1.0751138E+09,8.2298613E+08,18374857.,-10.802684,-11.298027,0.34989914,1.5627155E+10,-6.4645022E+10,-6.8635508E+09,37422.128,14512.924,-2246.5262,1.0740147E+11,3.5645180E+09,-6.2036845E+09,-1041.9680,34829.852,538.00149,-1.4999892E+11,-6.9494906E+09,18888328.,1066.5353,-29859.749,0.91755915,-6.8877241E+10,2.3143431E+11,6.5142904E+09,-22334.536,-4787.4830,447.87544,
0.70000000,-1.0752072E+09,8.2288851E+08,18377880.,-10.802594,-11.298063,0.34988153,1.5950744E+10,-6.4520666E+10,-6.8830695E+09,37361.631,14752.599,-2221.3913,1.0739289E+11,3.8654581E+09,-6.1990602E+09,-1138.8461,34827.538,543.56012,-1.4998993E+11,-7.2074903E+09,18896256.,1118.0318,-29857.106,0.91738290,-6.9070235E+10,2.3139303E+11,6.5181624E+09,-22328.952,-4806.5060,447.33980,
0.80000000,-1.0753005E+09,8.2279090E+08,18380903.,-10.802502,-11.298098,0.34986391,1.6273816E+10,-6.4394238E+10,-6.9023715E+09,37299.847,14992.218,-2196.1431,1.0738347E+11,4.1663793E+09,-6.1943878E+09,-1235.7190,34824.955,549.11476,-1.4998049E+11,-7.4654676E+09,18904183.,1169.5204,-29854.374,0.91720498,-6.9263182E+10,2.3135159E+11,6.5220297E+09,-22323.353,-4825.5221,446.80395,
0.90000000,-1.0753938E+09,8.2269328E+08,18383926.,-10.802411,-11.298133,0.34984628,1.6596360E+10,-6.4265740E+10,-6.9214558E+09,37236.774,15231.776,-2170.7815,1.0737321E+11,4.4672795E+09,-6.1896674E+09,-1332.5858,34822.103,554.66536,-1.4997061E+11,-7.7234216E+09,18912109.,1221.0011,-29851.553,0.91702538,-6.9456080E+10,2.3130998E+11,6.5258924E+09,-22317.738,-4844.5311,446.26787,
