NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
0.00000000,-1.0749272E+09,8.2318136E+08,18368813.,-10.802868,-11.297959,0.34993443,1.4987273E+10,-6.4928985E+10,-6.8280635E+09,37564.540,14033.830,-2298.7394,1.0743287E+11,2.9626420E+09,-6.2137543E+09,-848.17381,34839.048,526.94471,-1.5002448E+11,-6.4337682E+09,18872494.,963.65179,-29866.551,0.91797173,-6.8492053E+10,2.3151968E+11,6.5066249E+09,-22345.960,-4749.5537,448.95052,
0.50000000,-1.0753939E+09,8.2269330E+08,18383932.,-10.802416,-11.298141,0.34984651,1.6616149E+10,-6.4348591E+10,-6.9300413E+09,37287.993,15231.494,-2175.5023,1.0740669E+11,4.4678467E+09,-6.1915918E+09,-1332.4599,34832.857,554.80561,-1.4998842E+11,-7.7242581E+09,18912168.,1221.2503,-29855.119,0.91715568,-6.9457997E+10,2.3131656E+11,6.5260773E+09,-22318.336,-4844.8044,446.27683,
1.0000000,-1.0758605E+09,8.2220522E+08,18399047.,-10.801959,-11.298313,0.34975842,1.8233761E+10,-6.3716397E+10,-7.0267529E+09,36979.902,16426.434,-2049.5943,1.0735958E+11,5.9729291E+09,-6.1682233E+09,-1816.5017,34819.950,582.56026,-1.4994122E+11,-9.0143022E+09,18951808.,1478.6303,-29841.464,0.91629768,-7.0422755E+10,2.3110931E+11,6.5454144E+09,-22290.342,-4939.8786,443.59773,
1.5000000,-1.0763272E+09,8.2171714E+08,18414159.,-10.801498,-11.298475,0.34967017,1.9838754E+10,-6.3032510E+10,-7.1180827E+09,36639.939,17618.119,-1921.0287,1.0729156E+11,7.4775988E+09,-6.1436534E+09,-2300.2074,34800.334,610.20343,-1.4988289E+11,-1.0303804E+10,18991412.,1735.7727,-29825.591,0.91539787,-7.1386312E+10,2.3089796E+11,6.5646358E+09,-22261.977,-5034.7752,440.91328,
2.0000000,-1.0767938E+09,8.2122905E+08,18429267.,-10.801031,-11.298627,0.34958178,2.1429757E+10,-6.2297057E+10,-7.2039154E+09,36267.764,18805.988,-1789.8200,1.0720263E+11,8.9815660E+09,-6.1178868E+09,-2783.4849,34774.014,637.72989,-1.4981346E+11,-1.1592669E+10,19030978.,1992.6584,-29807.502,0.91445633,-7.2348651E+10,2.3068250E+11,6.5837414E+09,-22233.244,-5129.4931,438.22353,
2.5000000,-1.0772604E+09,8.2074095E+08,18444370.,-10.800559,-11.298768,0.34949326,2.3005387E+10,-6.1510191E+10,-7.2841367E+09,35863.024,19989.446,-1655.9846,1.0709281E+11,1.0484541E+10,-6.0909284E+09,-3266.2422,34740.996,665.13442,-1.4973291E+11,-1.2880799E+10,19070504.,2249.2684,-29787.202,0.91347320,-7.3309757E+10,2.3046295E+11,6.6027309E+09,-22204.143,-5224.0313,435.52853,
3.0000000,-1.0777270E+09,8.2025284E+08,18459470.,-10.800083,-11.298898,0.34940463,2.4564245E+10,-6.0672088E+10,-7.3586326E+09,35425.357,21167.863,-1519.5407,1.0696212E+11,1.1986233E+10,-6.0627834E+09,-3748.3872,34701.290,692.41183,-1.4964128E+11,-1.4168100E+10,19109988.,2505.5837,-29764.695,0.91244858,-7.4269614E+10,2.3023931E+11,6.6216040E+09,-22174.675,-5318.3887,432.82832,
3.5000000,-1.0781936E+09,8.1976473E+08,18474567.,-10.799603,-11.299018,0.34931590,2.6104916E+10,-5.9782952E+10,-7.4272899E+09,34954.394,22340.575,-1380.5088,1.0681058E+11,1.3486355E+10,-6.0334571E+09,-4229.8278,34654.906,719.55693,-1.4953857E+11,-1.5454477E+10,19149429.,2761.5854,-29739.986,0.91138260,-7.5228206E+10,2.3001159E+11,6.6403607E+09,-22144.842,-5412.5641,430.12296,
4.0000000,-1.0786602E+09,8.1927662E+08,18489659.,-10.799118,-11.299127,0.34922709,2.7625971E+10,-5.8843013E+10,-7.4899964E+09,34449.758,23506.874,-1238.9119,1.0663824E+11,1.4984617E+10,-6.0029551E+09,-4710.4721,34601.854,746.56458,-1.4942479E+11,-1.6739833E+10,19188825.,3017.2546,-29713.077,0.91027536,-7.6185516E+10,2.2977979E+11,6.6590006E+09,-22114.645,-5506.5566,427.41250,
4.5000000,-1.0791267E+09,8.1878850E+08,18504747.,-10.798628,-11.299225,0.34913822,2.9125963E+10,-5.7852534E+10,-7.5466407E+09,33911.067,24666.015,-1094.7762,1.0644510E+11,1.6480731E+10,-5.9712833E+09,-5190.2279,34542.147,773.42963,-1.4929996E+11,-1.8024075E+10,19228174.,3272.5726,-29683.974,0.90912702,-7.7141531E+10,2.2954394E+11,6.6775235E+09,-22084.085,-5600.3650,424.69699,
