NUM_BODIES
5

NAMES
Sun
Mercury
Venus
Earth
Mars

MASSES
1.9885e+30
3.3011e+23
4.8675e+24
5.9724e+24
6.4171e+23

RADII
6.95508e+08
2.4397e+07
6.0518e+07
6.371e+06
3.3962e+07

TRAJECTORIES
Step No,Sunx,Suny,Sunz,Sunvx,Sunvy,Sunvz,Mercuryx,Mercuryy,Mercuryz,Mercuryvx,Mercuryvy,Mercuryvz,Venusx,Venusy,Venusz,Venusvx,Venusvy,Venusvz,Earthx,Earthy,Earthz,Earthvx,Earthvy,Earthvz,Marsx,Marsy,Marsz,Marsvx,Marsvy,Marsvz,
0.00000000,-1.0745538E+09,8.2357181E+08,18356714.,-10.803225,-11.297805,0.35000461,1.3675296E+10,-6.5347271E+10,-6.7419056E+09,37758.046,13073.901,-2394.9322,1.0743525E+11,1.7586113E+09,-6.2304109E+09,-460.63008,34838.040,504.56756,-1.5004345E+11,-5.4010608E+09,18840726.,757.39967,-29873.722,0.91858080,-6.7718260E+10,2.3167852E+11,6.4909608E+09,-22367.728,-4673.1979,451.08461,
0.10000000,-1.0746471E+09,8.2347420E+08,18359739.,-10.803135,-11.297843,0.34998705,1.4001672E+10,-6.5234974E+10,-6.7626654E+09,37704.971,13313.832,-2370.4572,1.0743153E+11,2.0596142E+09,-6.2260668E+09,-557.52475,34837.291,510.14862,-1.5003705E+11,-5.6591756E+09,18848663.,808.93869,-29871.597,0.91841415,-6.7911533E+10,2.3163819E+11,6.4948596E+09,-22362.230,-4692.2613,450.55025,
0.20000000,-1.0747405E+09,8.2337658E+08,18362762.,-10.803045,-11.297881,0.34996949,1.4327594E+10,-6.5120604E+10,-6.7832140E+09,37650.626,13553.732,-2345.8683,1.0742698E+11,2.3606113E+09,-6.2216745E+09,-654.41871,34836.273,515.72595,-1.5003020E+11,-5.9172724E+09,18856598.,860.47083,-29869.383,0.91824583,-6.8104758E+10,2.3159771E+11,6.4987539E+09,-22356.717,-4711.3178,450.01567,
0.30000000,-1.0748338E+09,8.2327897E+08,18365786.,-10.802956,-11.297918,0.34995191,1.4653049E+10,-6.5004162E+10,-6.8035505E+09,37595.010,13793.597,-2321.1657,1.0742160E+11,2.6616003E+09,-6.2172340E+09,-751.31122,34834.986,521.29950,-1.5002291E+11,-6.1753502E+09,18864532.,911.99596,-29867.079,0.91807582,-6.8297935E+10,2.3155705E+11,6.5026435E+09,-22351.190,-4730.3673,449.48088,
0.40000000,-1.0749272E+09,8.2318136E+08,18368810.,-10.802865,-11.297955,0.34993433,1.4978027E+10,-6.4885647E+10,-6.8236739E+09,37538.120,14033.424,-2296.3493,1.0741537E+11,2.9625790E+09,-6.2127454E+09,-848.20155,34833.430,526.86924,-1.5001517E+11,-6.4334084E+09,18872465.,963.51390,-29864.687,0.91790412,-6.8491065E+10,2.3151623E+11,6.5065285E+09,-22345.647,-4749.4100,448.94586,
0.50000000,-1.0750205E+09,8.2308374E+08,18371833.,-10.802775,-11.297991,0.34991674,1.5302518E+10,-6.4765059E+10,-6.8435832E+09,37479.951,14273.208,-2271.4191,1.0740831E+11,3.2635450E+09,-6.2082086E+09,-945.08896,34831.605,532.43512,-1.5000699E+11,-6.6914462E+09,18880396.,1015.0245,-29862.206,0.91773074,-6.8684146E+10,2.3147525E+11,6.5104088E+09,-22340.090,-4768.4457,448.41062,
0.60000000,-1.0751138E+09,8.2298613E+08,18374857.,-10.802684,-11.298027,0.34989914,1.5626509E+10,-6.4642400E+10,-6.8632773E+09,37420.501,14512.945,-2246.3753,1.0740041E+11,3.5644960E+09,-6.2036237E+09,-1041.9727,34829.512,537.99710,-1.4999836E+11,-6.9494628E+09,18888326.,1066.5276,-29859.636,0.91755569,-6.8877180E+10,2.3143411E+11,6.5142846E+09,-22334.517,-4787.4744,447.87516,
0.70000000,-1.0752072E+09,8.2288851E+08,18377880.,-10.802594,-11.298063,0.34988153,1.5949990E+10,-6.4517669E+10,-6.8827555E+09,37359.766,14752.631,-2221.2177,1.0739168E+11,3.8654296E+09,-6.1989907E+09,-1138.8521,34827.149,543.55513,-1.4998929E+11,-7.2074574E+09,18896254.,1118.0231,-29856.977,0.91737895,-6.9070166E+10,2.3139279E+11,6.5181557E+09,-22328.930,-4806.4962,447.33948,
0.80000000,-1.0753005E+09,8.2279090E+08,18380903.,-10.802502,-11.298098,0.34986391,1.6272950E+10,-6.4390867E+10,-6.9020165E+09,37297.744,14992.263,-2195.9464,1.0738210E+11,4.1663435E+09,-6.1943097E+09,-1235.7263,34824.517,549.10917,-1.4997977E+11,-7.4654293E+09,18904181.,1169.5108,-29854.229,0.91720053,-6.9263103E+10,2.3135132E+11,6.5220222E+09,-22323.328,-4825.5110,446.80358,
0.90000000,-1.0753938E+09,8.2269328E+08,18383926.,-10.802411,-11.298133,0.34984628,1.6595378E+10,-6.4261995E+10,-6.9210596E+09,37234.430,15231.836,-2170.5615,1.0737170E+11,4.4672354E+09,-6.1895807E+09,-1332.5946,34821.617,554.65919,-1.4996981E+11,-7.7233777E+09,18912106.,1220.9906,-29851.392,0.91702044,-6.9455992E+10,2.3130968E+11,6.5258840E+09,-22317.711,-4844.5188,446.26747,
1.0000000,-1.0754872E+09,8.2259567E+08,18386948.,-10.802320,-11.298168,0.34982864,1.6917262E+10,-6.4131053E+10,-6.9398836E+09,37169.821,15471.346,-2145.0630,1.0736045E+11,4.7681031E+09,-6.1848037E+09,-1429.4564,34818.447,560.20514,-1.4995940E+11,-7.9813019E+09,18920029.,1272.4622,-29848.467,0.91683867,-6.9648833E+10,2.3126787E+11,6.5297413E+09,-22312.080,-4863.5197,445.73114,
1.1000000,-1.0755805E+09,8.2249805E+08,18389971.,-10.802228,-11.298202,0.34981099,1.7238592E+10,-6.3998041E+10,-6.9584877E+09,37103.914,15710.789,-2119.4508,1.0734837E+11,5.0689440E+09,-6.1799788E+09,-1526.3108,34815.009,565.74697,-1.4994855E+11,-8.2392010E+09,18927951.,1323.9256,-29845.452,0.91665521,-6.9841625E+10,2.3122591E+11,6.5335939E+09,-22306.433,-4882.5136,445.19459,
1.2000000,-1.0756738E+09,8.2240043E+08,18392993.,-10.802136,-11.298236,0.34979334,1.7559355E+10,-6.3862960E+10,-6.9768707E+09,37036.705,15950.160,-2093.7251,1.0733545E+11,5.3697561E+09,-6.1751061E+09,-1623.1571,34811.302,571.28464,-1.4993725E+11,-8.4970743E+09,18935872.,1375.3806,-29842.348,0.91647009,-7.0034368E+10,2.3118377E+11,6.5374418E+09,-22300.772,-4901.5004,444.65782,
1.3000000,-1.0757672E+09,8.2230282E+08,18396016.,-10.802044,-11.298269,0.34977567,1.7879542E+10,-6.3725810E+10,-6.9950318E+09,36968.191,16189.456,-2067.8859,1.0732169E+11,5.6705368E+09,-6.1701854E+09,-1719.9946,34807.326,576.81812,-1.4992551E+11,-8.7549210E+09,18943791.,1426.8271,-29839.156,0.91628329,-7.0227062E+10,2.3114148E+11,6.5412852E+09,-22295.096,-4920.4803,444.12084,
1.4000000,-1.0758605E+09,8.2220520E+08,18399038.,-10.801952,-11.298302,0.34975800,1.8199140E+10,-6.3586593E+10,-7.0129700E+09,36898.368,16428.671,-2041.9332,1.0730709E+11,5.9712839E+09,-6.1652170E+09,-1816.8226,34803.081,582.34736,-1.4991332E+11,-9.0127404E+09,18951708.,1478.2648,-29835.875,0.91609481,-7.0419707E+10,2.3109902E+11,6.5451238E+09,-22289.405,-4939.4531,443.58364,
1.5000000,-1.0759538E+09,8.2210758E+08,18402060.,-10.801859,-11.298335,0.34974032,1.8518139E+10,-6.3445309E+10,-7.0306842E+09,36827.233,16667.802,-2015.8669,1.0729166E+11,6.2719951E+09,-6.1602007E+09,-1913.6403,34798.567,587.87231,-1.4990069E+11,-9.2705317E+09,18959623.,1529.6936,-29832.505,0.91590466,-7.0612304E+10,2.3105639E+11,6.5489579E+09,-22283.699,-4958.4189,443.04622,
1.6000000,-1.0760472E+09,8.2200997E+08,18405082.,-10.801766,-11.298367,0.34972263,1.8836527E+10,-6.3301958E+10,-7.0481736E+09,36754.782,16906.844,-1989.6873,1.0727540E+11,6.5726680E+09,-6.1551367E+09,-2010.4469,34793.785,593.39293,-1.4988762E+11,-9.5282941E+09,18967537.,1581.1135,-29829.047,0.91571284,-7.0804851E+10,2.3101360E+11,6.5527873E+09,-22277.978,-4977.3777,442.50859,
1.7000000,-1.0761405E+09,8.2191235E+08,18408103.,-10.801673,-11.298398,0.34970494,1.9154292E+10,-6.3156542E+10,-7.0654371E+09,36681.011,17145.793,-1963.3942,1.0725829E+11,6.8733004E+09,-6.1500250E+09,-2107.2418,34788.733,598.90919,-1.4987410E+11,-9.7860269E+09,18975450.,1632.5241,-29825.500,0.91551934,-7.0997348E+10,2.3097065E+11,6.5566120E+09,-22272.243,-4996.3294,441.97075,
1.8000000,-1.0762338E+09,8.2181473E+08,18411125.,-10.801580,-11.298430,0.34968723,1.9471424E+10,-6.3009062E+10,-7.0824737E+09,36605.918,17384.644,-1936.9877,1.0724035E+11,7.1738898E+09,-6.1448657E+09,-2204.0241,34783.413,604.42104,-1.4986014E+11,-1.0043729E+10,18983360.,1683.9255,-29821.864,0.91532417,-7.1189796E+10,2.3092753E+11,6.5604322E+09,-22266.493,-5015.2741,441.43269,
1.9000000,-1.0763271E+09,8.2171711E+08,18414146.,-10.801487,-11.298461,0.34966952,1.9787910E+10,-6.2859517E+10,-7.0992824E+09,36529.497,17623.392,-1910.4679,1.0722158E+11,7.4744340E+09,-6.1396586E+09,-2300.7932,34777.824,609.92843,-1.4984573E+11,-1.0301400E+10,18991269.,1735.3173,-29818.139,0.91512734,-7.1382195E+10,2.3088425E+11,6.5642476E+09,-22260.728,-5034.2117,440.89442,
2.0000000,-1.0764205E+09,8.2161949E+08,18417167.,-10.801393,-11.298491,0.34965180,2.0103740E+10,-6.2707909E+10,-7.1158624E+09,36451.746,17862.034,-1883.8348,1.0720197E+11,7.7749307E+09,-6.1344040E+09,-2397.5483,34771.966,615.43133,-1.4983088E+11,-1.0559040E+10,18999177.,1786.6995,-29814.326,0.91492883,-7.1574543E+10,2.3084081E+11,6.5680584E+09,-22254.948,-5053.1422,440.35593,
2.1000000,-1.0765138E+09,8.2152187E+08,18420188.,-10.801299,-11.298521,0.34963407,2.0418902E+10,-6.2554239E+10,-7.1322125E+09,36372.661,18100.563,-1857.0885,1.0718152E+11,8.0753775E+09,-6.1291019E+09,-2494.2888,34765.840,620.92969,-1.4981558E+11,-1.0816646E+10,19007082.,1838.0720,-29810.424,0.91472865,-7.1766842E+10,2.3079720E+11,6.5718646E+09,-22249.154,-5072.0657,439.81723,
2.2000000,-1.0766071E+09,8.2142426E+08,18423209.,-10.801205,-11.298551,0.34961634,2.0733384E+10,-6.2398507E+10,-7.1483319E+09,36292.238,18338.976,-1830.2289,1.0716023E+11,8.3757721E+09,-6.1237522E+09,-2591.0137,34759.445,626.42348,-1.4979984E+11,-1.1074219E+10,19014986.,1889.4345,-29806.434,0.91452681,-7.1959091E+10,2.3075343E+11,6.5756661E+09,-22243.345,-5090.9821,439.27832,
2.3000000,-1.0767004E+09,8.2132664E+08,18426230.,-10.801111,-11.298580,0.34959860,2.1047175E+10,-6.2240716E+10,-7.1642195E+09,36210.473,18577.268,-1803.2562,1.0713812E+11,8.6761122E+09,-6.1183550E+09,-2687.7225,34752.781,631.91264,-1.4978366E+11,-1.1331758E+10,19022888.,1940.7869,-29802.355,0.91432330,-7.2151289E+10,2.3070950E+11,6.5794630E+09,-22237.521,-5109.8913,438.73919,
2.4000000,-1.0767938E+09,8.2122902E+08,18429251.,-10.801016,-11.298609,0.34958085,2.1360263E+10,-6.2080865E+10,-7.1798744E+09,36127.362,18815.433,-1776.1704,1.0711516E+11,8.9763954E+09,-6.1129104E+09,-2784.4143,34745.849,637.39714,-1.4976703E+11,-1.1589262E+10,19030788.,1992.1291,-29798.188,0.91411812,-7.2343438E+10,2.3066540E+11,6.5832551E+09,-22231.682,-5128.7935,438.19985,
2.5000000,-1.0768871E+09,8.2113140E+08,18432271.,-10.800922,-11.298637,0.34956309,2.1672637E+10,-6.1918956E+10,-7.1952956E+09,36042.902,19053.467,-1748.9714,1.0709137E+11,9.2766196E+09,-6.1074184E+09,-2881.0884,34738.648,642.87693,-1.4974996E+11,-1.1846730E+10,19038687.,2043.4609,-29793.932,0.91391128,-7.2535535E+10,2.3062114E+11,6.5870427E+09,-22225.829,-5147.6885,437.66030,
2.6000000,-1.0769804E+09,8.2103378E+08,18435291.,-10.800827,-11.298665,0.34954533,2.1984285E+10,-6.1754991E+10,-7.2104821E+09,35957.088,19291.366,-1721.6595,1.0706674E+11,9.5767822E+09,-6.1018791E+09,-2977.7441,34731.178,648.35197,-1.4973245E+11,-1.2104162E+10,19046584.,2094.7821,-29789.588,0.91370277,-7.2727583E+10,2.3057672E+11,6.5908256E+09,-22219.961,-5166.5764,437.12054,
2.7000000,-1.0770737E+09,8.2093616E+08,18438311.,-10.800732,-11.298693,0.34952756,2.2295195E+10,-6.1588969E+10,-7.2254329E+09,35869.917,19529.123,-1694.2346,1.0704128E+11,9.8768810E+09,-6.0962924E+09,-3074.3807,34723.440,653.82223,-1.4971449E+11,-1.2361556E+10,19054479.,2146.0926,-29785.155,0.91349260,-7.2919580E+10,2.3053213E+11,6.5946038E+09,-22214.078,-5185.4572,436.58057,
2.8000000,-1.0771670E+09,8.2083853E+08,18441331.,-10.800637,-11.298720,0.34950978,2.2605356E+10,-6.1420893E+10,-7.2401471E+09,35781.385,19766.734,-1666.6967,1.0701499E+11,1.0176914E+10,-6.0906585E+09,-3170.9974,34715.434,659.28765,-1.4969609E+11,-1.2618912E+10,19062372.,2197.3923,-29780.634,0.91328077,-7.3111525E+10,2.3048738E+11,6.5983773E+09,-22208.181,-5204.3309,436.04039,
2.9000000,-1.0772603E+09,8.2074091E+08,18444351.,-10.800541,-11.298747,0.34949199,2.2914756E+10,-6.1250763E+10,-7.2546237E+09,35691.488,20004.194,-1639.0460,1.0698786E+11,1.0476878E+10,-6.0849773E+09,-3267.5935,34707.159,664.74820,-1.4967725E+11,-1.2876230E+10,19070263.,2248.6810,-29776.024,0.91306728,-7.3303420E+10,2.3044247E+11,6.6021462E+09,-22202.269,-5223.1973,435.50000,
3.0000000,-1.0773537E+09,8.2064329E+08,18447371.,-10.800445,-11.298773,0.34947420,2.3223383E+10,-6.1078581E+10,-7.2688617E+09,35600.222,20241.497,-1611.2825,1.0695989E+11,1.0776772E+10,-6.0792489E+09,-3364.1682,34698.616,670.20383,-1.4965796E+11,-1.3133508E+10,19078153.,2299.9585,-29771.326,0.91285212,-7.3495264E+10,2.3039739E+11,6.6059104E+09,-22196.342,-5242.0567,434.95940,
3.1000000,-1.0774470E+09,8.2054567E+08,18450390.,-10.800349,-11.298799,0.34945641,2.3531225E+10,-6.0904349E+10,-7.2828601E+09,35507.583,20478.639,-1583.4062,1.0693109E+11,1.1076592E+10,-6.0734734E+09,-3460.7208,34689.804,675.65450,-1.4963823E+11,-1.3390745E+10,19086040.,2351.2248,-29766.540,0.91263531,-7.3687057E+10,2.3035215E+11,6.6096699E+09,-22190.401,-5260.9088,434.41859,
3.2000000,-1.0775403E+09,8.2044805E+08,18453410.,-10.800253,-11.298825,0.34943860,2.3838270E+10,-6.0728067E+10,-7.2966180E+09,35413.566,20715.613,-1555.4173,1.0690145E+11,1.1376337E+10,-6.0676507E+09,-3557.2506,34680.725,681.10018,-1.4961806E+11,-1.3647942E+10,19093926.,2402.4795,-29761.666,0.91241683,-7.3878799E+10,2.3030675E+11,6.6134248E+09,-22184.445,-5279.7538,433.87757,
