NUM_BODIES
3

NUM_STEPS
10000

NAMES
Body1
Body2
Body3

MASSES
1
1
1

RADII
0.1
0.1
0.1

TRAJECTORIES
Step No,Body1x,Body1y,Body1z,Body1vx,Body1vy,Body1vz,Body2x,Body2y,Body2z,Body2vx,Body2vy,Body2vz,Body3x,Body3y,Body3z,Body3vx,Body3vy,Body3vz,
0.00000000,-0.97472053,0.23868506,0.00000000,-0.45390515,-0.43599923,0.00000000,0.96540070,-0.24734527,0.00000000,-0.47814902,-0.42993223,0.00000000,0.0093190950,0.0086611430,0.00000000,0.93221716,0.86572569,0.00000000,
1.0000000,-0.97931928,0.23433913,0.00000000,-0.44197559,-0.43879890,0.00000000,0.96068070,-0.25166093,0.00000000,-0.49045855,-0.42665238,0.00000000,0.018638736,0.017321601,0.00000000,0.93275920,0.86503967,0.00000000,
2.0000000,-0.98379790,0.22996425,0.00000000,-0.43021122,-0.44140889,0.00000000,0.95583841,-0.25594489,0.00000000,-0.50292731,-0.42315006,0.00000000,0.027962181,0.025977261,0.00000000,0.93362431,0.86394114,0.00000000,
3.0000000,-0.98815806,0.22556236,0.00000000,-0.41861156,-0.44383877,0.00000000,0.95087221,-0.26019500,0.00000000,-0.51555353,-0.41941462,0.00000000,0.037292673,0.034624005,0.00000000,0.93480984,0.86242874,0.00000000,
4.0000000,-0.99240140,0.22113532,0.00000000,-0.40717585,-0.44609778,0.00000000,0.94578053,-0.26440896,0.00000000,-0.52833493,-0.41543517,0.00000000,0.046633433,0.043257704,0.00000000,0.93631231,0.86050053,0.00000000,
5.0000000,-0.99652957,0.21668488,0.00000000,-0.39590301,-0.44819484,0.00000000,0.94056180,-0.26858440,0.00000000,-0.54126868,-0.41120058,0.00000000,0.055987651,0.051874211,0.00000000,0.93812739,0.85815405,0.00000000,
6.0000000,-1.0005442,0.21221270,0.00000000,-0.38479169,-0.45013857,0.00000000,0.93521447,-0.27271883,0.00000000,-0.55435135,-0.40669951,0.00000000,0.065358479,0.060469358,0.00000000,0.94024987,0.85538631,0.00000000,
7.0000000,-1.0044469,0.20772035,0.00000000,-0.37384030,-0.45193726,0.00000000,0.92973704,-0.27680963,0.00000000,-0.56757891,-0.40192044,0.00000000,0.074749021,0.069038951,0.00000000,0.94267368,0.85219387,0.00000000,
8.0000000,-1.0082393,0.20320933,0.00000000,-0.36304700,-0.45359890,0.00000000,0.92412803,-0.28085408,0.00000000,-0.58094667,-0.39685169,0.00000000,0.084162324,0.077578762,0.00000000,0.94539185,0.84857280,0.00000000,
9.0000000,-1.0119230,0.19868104,0.00000000,-0.35240977,-0.45513119,0.00000000,0.91838602,-0.28484935,0.00000000,-0.59444924,-0.39148145,0.00000000,0.093601370,0.086084526,0.00000000,0.94839650,0.84451878,0.00000000,
10.000000,-1.0154996,0.19413682,0.00000000,-0.34192638,-0.45654149,0.00000000,0.91250962,-0.28879248,0.00000000,-0.60808051,-0.38579781,0.00000000,0.10306907,0.094551937,0.00000000,0.95167881,0.84002711,0.00000000,
11.000000,-1.0189705,0.18957792,0.00000000,-0.33159443,-0.45783692,0.00000000,0.90649753,-0.29268039,0.00000000,-0.62183359,-0.37978881,0.00000000,0.11256824,0.10297664,0.00000000,0.95522904,0.83509275,0.00000000,
12.000000,-1.0223374,0.18500553,0.00000000,-0.32141136,-0.45902428,0.00000000,0.90034847,-0.29650989,0.00000000,-0.63570081,-0.37344246,0.00000000,0.12210163,0.11135425,0.00000000,0.95903646,0.82971041,0.00000000,
13.000000,-1.0256018,0.18042075,0.00000000,-0.31137448,-0.46011009,0.00000000,0.89406127,-0.30027768,0.00000000,-0.64967365,-0.36674682,0.00000000,0.13167185,0.11968029,0.00000000,0.96308936,0.82387457,0.00000000,
14.000000,-1.0287650,0.17582463,0.00000000,-0.30148096,-0.46110060,0.00000000,0.88763482,-0.30398030,0.00000000,-0.66374274,-0.35969005,0.00000000,0.14128143,0.12795027,0.00000000,0.96737503,0.81757956,0.00000000,
15.000000,-1.0318286,0.17121817,0.00000000,-0.29172785,-0.46200181,0.00000000,0.88106812,-0.30761422,0.00000000,-0.67789780,-0.35226042,0.00000000,0.15093276,0.13615963,0.00000000,0.97187974,0.81081962,0.00000000,
16.000000,-1.0347940,0.16660227,0.00000000,-0.28211212,-0.46281944,0.00000000,0.87436024,-0.31117576,0.00000000,-0.69212763,-0.34444644,0.00000000,0.16062811,0.14430374,0.00000000,0.97658872,0.80358899,0.00000000,
17.000000,-1.0376626,0.16197780,0.00000000,-0.27263061,-0.46355897,0.00000000,0.86751037,-0.31466112,0.00000000,-0.70642010,-0.33623689,0.00000000,0.17036959,0.15237793,0.00000000,0.98148615,0.79588195,0.00000000,
18.000000,-1.0404356,0.15734557,0.00000000,-0.26328010,-0.46422563,0.00000000,0.86051783,-0.31806642,0.00000000,-0.72076208,-0.32762090,0.00000000,0.18015918,0.16037745,0.00000000,0.98655517,0.78769296,0.00000000,
19.000000,-1.0431146,0.15270634,0.00000000,-0.25405731,-0.46482440,0.00000000,0.85338205,-0.32138764,0.00000000,-0.73513948,-0.31858802,0.00000000,0.18999869,0.16829753,0.00000000,0.99177786,0.77901669,0.00000000,
20.000000,-1.0457007,0.14806080,0.00000000,-0.24495886,-0.46536006,0.00000000,0.84610260,-0.32462066,0.00000000,-0.74953722,-0.30912833,0.00000000,0.19988973,0.17613330,0.00000000,0.99713523,0.76984816,0.00000000,
21.000000,-1.0481952,0.14340961,0.00000000,-0.23598134,-0.46583713,0.00000000,0.83867920,-0.32776125,0.00000000,-0.76393921,-0.29923252,0.00000000,0.20983376,0.18387988,0.00000000,1.0026073,0.76018281,0.00000000,
